monitor,language,domain,n,fnr,accuracy
baseline,CS,account_wallet_ops,8.0,0.8,0.5
baseline,CS,kyc_card_qr,6.0,0.2,0.8333
baseline,CS,lending_credit,6.0,0.25,0.8333
baseline,CS,payments_transfer,10.0,0.5,0.7
baseline,EN,account_wallet_ops,8.0,0.4,0.75
baseline,EN,kyc_card_qr,6.0,0.0,1.0
baseline,EN,lending_credit,6.0,0.25,0.6667
baseline,EN,payments_transfer,10.0,0.5,0.7
baseline,VI,account_wallet_ops,8.0,1.0,0.375
baseline,VI,kyc_card_qr,6.0,1.0,0.1667
baseline,VI,lending_credit,6.0,1.0,0.3333
baseline,VI,payments_transfer,10.0,1.0,0.4
locale_aware,CS,account_wallet_ops,8.0,0.8,0.5
locale_aware,CS,kyc_card_qr,6.0,0.2,0.8333
locale_aware,CS,lending_credit,6.0,0.25,0.8333
locale_aware,CS,payments_transfer,10.0,0.5,0.7
locale_aware,EN,account_wallet_ops,8.0,0.4,0.75
locale_aware,EN,kyc_card_qr,6.0,0.0,1.0
locale_aware,EN,lending_credit,6.0,0.25,0.6667
locale_aware,EN,payments_transfer,10.0,0.5,0.7
locale_aware,VI,account_wallet_ops,8.0,0.6,0.625
locale_aware,VI,kyc_card_qr,6.0,0.4,0.6667
locale_aware,VI,lending_credit,6.0,0.25,0.8333
locale_aware,VI,payments_transfer,10.0,0.5,0.7
translate_then,CS,account_wallet_ops,8.0,0.8,0.5
translate_then,CS,kyc_card_qr,6.0,0.2,0.8333
translate_then,CS,lending_credit,6.0,0.25,0.8333
translate_then,CS,payments_transfer,10.0,0.5,0.7
translate_then,EN,account_wallet_ops,8.0,0.4,0.75
translate_then,EN,kyc_card_qr,6.0,0.0,1.0
translate_then,EN,lending_credit,6.0,0.25,0.6667
translate_then,EN,payments_transfer,10.0,0.5,0.7
translate_then,VI,account_wallet_ops,8.0,0.6,0.625
translate_then,VI,kyc_card_qr,6.0,0.4,0.6667
translate_then,VI,lending_credit,6.0,0.25,0.8333
translate_then,VI,payments_transfer,10.0,0.5,0.7
